"Volume_Name","Volume_Type","Runway_Name","Point_Sequence","Latitude","Longitude","Min_Altitude","Max_Altitude"
"09R_GT_1_N","PLT","R09R",4,0.899976,-0.00750189,-152.400009155273,2286
"09R_GT_1_N","PLT","R09R",5,0.898524,-0.0074904,-152.400009155273,2286
"09R_GT_1_S","PLT","R09R",1,0.897943,-0.00748582,-152.400009155273,2286
"09R_GT_1_S","PLT","R09R",2,0.897865,-0.0200385,-152.400009155273,2286
"09R_GT_1_S","PLT","R09R",3,0.896413,-0.0200043,-152.400009155273,2286
"09R_GT_1_S","PLT","R09R",4,0.89649,-0.0074744,-152.400009155273,2286
"09R_GT_1_S","PLT","R09R",5,0.897943,-0.00748582,-152.400009155273,2286
"09R_GT_3_N","PLT","R09R",1,0.899105,-0.00749499,-152.400009155273,2286
"09R_GT_3_N","PLT","R09R",2,0.899027,-0.0200659,-152.400009155273,2286
"09R_GT_3_N","PLT","R09R",3,0.899899,-0.0200866,-152.400009155273,2286
"09R_GT_3_N","PLT","R09R",4,0.899976,-0.00750189,-152.400009155273,2286
"09R_GT_3_N","PLT","R09R",5,0.899105,-0.00749499,-152.400009155273,2286
"09R_GT_3_S","PLT","R09R",1,0.897362,-0.00748125,-152.400009155273,2286
"09R_GT_3_S","PLT","R09R",2,0.897285,-0.0200248,-152.400009155273,2286
"09R_GT_3_S","PLT","R09R",3,0.896413,-0.0200043,-152.400009155273,2286
"09R_GT_3_S","PLT","R09R",4,0.89649,-0.0074744,-152.400009155273,2286
"09R_GT_3_S","PLT","R09R",5,0.897362,-0.00748125,-152.400009155273,2286
"09R_GWCS_ILS","GWCS","R09R",1,0.898191,-0.008418,-152.400009155273,2042.16003417969
"09R_GWCS_ILS","GWCS","R09R",2,0.898269,-0.00841871,-152.400009155273,2042.16003417969
"09R_GWCS_ILS","GWCS","R09R",3,0.898208,-0.0186511,-152.400009155273,2042.16003417969
"09R_GWCS_ILS","GWCS","R09R",4,0.898129,-0.0186494,-152.400009155273,2042.16003417969
"09R_GWCS_ILS","GWCS","R09R",5,0.898191,-0.008418,-152.400009155273,2042.16003417969
"09R_ILS","PLT","R09R",1,0.898183,-0.0102784,-152.400009155273,2042.16003417969
"09R_ILS","PLT","R09R",2,0.898262,-0.0102793,-152.400009155273,2042.16003417969
"09R_ILS","PLT","R09R",3,0.898195,-0.0200463,-152.400009155273,2042.16003417969
"09R_ILS","PLT","R09R",4,0.898117,-0.0200444,-152.400009155273,2042.16003417969
"09R_ILS","PLT","R09R",5,0.898183,-0.0102784,-152.400009155273,2042.16003417969
"09R_Landing","PLT","R09R",1,0.898191,-0.008418,-152.400009155273,609.600036621094
"09R_Landing","PLT","R09R",2,0.898269,-0.00841871,-152.400009155273,609.600036621094
"09R_Landing","PLT","R09R",3,0.898262,-0.0102793,-152.400009155273,609.600036621094
"09R_Landing","PLT","R09R",4,0.898183,-0.0102784,-152.400009155273,609.600036621094
"09R_Landing","PLT","R09R",5,0.898191,-0.008418,-152.400009155273,609.600036621094
"09R_N_Base_1a","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,1432.56005859375
"09R_N_Base_1a","PLT","R09R",2,0.899966,-0.0102987,-152.400009155273,1432.56005859375
"09R_N_Base_1a","PLT","R09R",3,0.899951,-0.0130954,-152.400009155273,1432.56005859375
"09R_N_Base_1a","PLT","R09R",4,0.898208,-0.0130694,-152.400009155273,1432.56005859375
"09R_N_Base_1a","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,1432.56005859375
"09R_N_Base_1b","PLT","R09R",1,0.898208,-0.0130694,-152.400009155273,1737.35998535156
"09R_N_Base_1b","PLT","R09R",2,0.899951,-0.0130954,-152.400009155273,1737.35998535156
"09R_N_Base_1b","PLT","R09R",3,0.89994,-0.0149598,-152.400009155273,1737.35998535156
"09R_N_Base_1b","PLT","R09R",4,0.898197,-0.0149298,-152.400009155273,1737.35998535156
"09R_N_Base_1b","PLT","R09R",5,0.898208,-0.0130694,-152.400009155273,1737.35998535156
"09R_N_Base_1c","PLT","R09R",1,0.898197,-0.0149298,-152.400009155273,2042.16003417969
"09R_N_Base_1c","PLT","R09R",2,0.89994,-0.0149598,-152.400009155273,2042.16003417969
"09R_N_Base_1c","PLT","R09R",3,0.899899,-0.0200866,-152.400009155273,2042.16003417969
"09R_N_Base_1c","PLT","R09R",4,0.898156,-0.0200453,-152.400009155273,2042.16003417969
"09R_N_Base_1c","PLT","R09R",5,0.898197,-0.0149298,-152.400009155273,2042.16003417969
"09R_N_Base_2","PLT","R09R",1,0.899966,-0.0102987,-152.400009155273,2042.16003417969
"09R_N_Base_2","PLT","R09R",2,0.899899,-0.0200866,-152.400009155273,2042.16003417969
"09R_N_Base_2","PLT","R09R",3,0.898156,-0.0200453,-152.400009155273,2042.16003417969
"09R_N_Base_2","PLT","R09R",4,0.898223,-0.0102788,-152.400009155273,2042.16003417969
"09R_N_Base_2","PLT","R09R",5,0.899966,-0.0102987,-152.400009155273,2042.16003417969
"09R_N_Ext_Base","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,2286
"09R_N_Ext_Base","PLT","R09R",2,0.898156,-0.0200453,-152.400009155273,2286
"09R_N_Ext_Base","PLT","R09R",3,0.896413,-0.0200043,-152.400009155273,2286
"09R_N_Ext_Base","PLT","R09R",4,0.896479,-0.010259,-152.400009155273,2286
"09R_N_Ext_Base","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,2286
"09R_N_Ext_Inter","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,2286
"09R_N_Ext_Inter","PLT","R09R",2,0.898156,-0.0200453,-152.400009155273,2286
"09R_N_Ext_Inter","PLT","R09R",3,0.896413,-0.0200043,-152.400009155273,2286
"09R_N_Ext_Inter","PLT","R09R",4,0.896479,-0.010259,-152.400009155273,2286
"09R_N_Ext_Inter","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,2286
"09R_N_Intercept","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,2042.16003417969
"09R_N_Intercept","PLT","R09R",2,0.898156,-0.0200453,-152.400009155273,2042.16003417969
"09R_N_Intercept","PLT","R09R",3,0.899899,-0.0200866,-152.400009155273,2042.16003417969
"09R_N_Intercept","PLT","R09R",4,0.899966,-0.0102987,-152.400009155273,2042.16003417969
"09R_N_Intercept","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,2042.16003417969
"09R_S_Base_1a","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,1432.56005859375
"09R_S_Base_1a","PLT","R09R",2,0.896479,-0.010259,-152.400009155273,1432.56005859375
"09R_S_Base_1a","PLT","R09R",3,0.896465,-0.0130436,-152.400009155273,1432.56005859375
"09R_S_Base_1a","PLT","R09R",4,0.898208,-0.0130694,-152.400009155273,1432.56005859375
"09R_S_Base_1a","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,1432.56005859375
"09R_S_Base_1b","PLT","R09R",1,0.898208,-0.0130694,-152.400009155273,1737.35998535156
"09R_S_Base_1b","PLT","R09R",2,0.896465,-0.0130436,-152.400009155273,1737.35998535156
"09R_S_Base_1b","PLT","R09R",3,0.896454,-0.0148998,-152.400009155273,1737.35998535156
"09R_S_Base_1b","PLT","R09R",4,0.898197,-0.0149298,-152.400009155273,1737.35998535156
"09R_S_Base_1b","PLT","R09R",5,0.898208,-0.0130694,-152.400009155273,1737.35998535156
"09R_S_Base_1c","PLT","R09R",1,0.898197,-0.0149298,-152.400009155273,2042.16003417969
"09R_S_Base_1c","PLT","R09R",2,0.896454,-0.0148998,-152.400009155273,2042.16003417969
"09R_S_Base_1c","PLT","R09R",3,0.896413,-0.0200043,-152.400009155273,2042.16003417969
"09R_S_Base_1c","PLT","R09R",4,0.898156,-0.0200453,-152.400009155273,2042.16003417969
"09R_S_Base_1c","PLT","R09R",5,0.898197,-0.0149298,-152.400009155273,2042.16003417969
"09R_S_Base_2","PLT","R09R",1,0.896479,-0.010259,-152.400009155273,2042.16003417969
"09R_S_Base_2","PLT","R09R",2,0.896413,-0.0200043,-152.400009155273,2042.16003417969
"09R_S_Base_2","PLT","R09R",3,0.898156,-0.0200453,-152.400009155273,2042.16003417969
"09R_S_Base_2","PLT","R09R",4,0.898223,-0.0102788,-152.400009155273,2042.16003417969
"09R_S_Base_2","PLT","R09R",5,0.896479,-0.010259,-152.400009155273,2042.16003417969
"09R_S_Ext_Base","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,2286
"09R_S_Ext_Base","PLT","R09R",2,0.898156,-0.0200453,-152.400009155273,2286
"09R_S_Ext_Base","PLT","R09R",3,0.899899,-0.0200866,-152.400009155273,2286
"09R_S_Ext_Base","PLT","R09R",4,0.899966,-0.0102987,-152.400009155273,2286
"09R_S_Ext_Base","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,2286
"09R_S_Ext_Inter","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,2286
"09R_S_Ext_Inter","PLT","R09R",2,0.898156,-0.0200453,-152.400009155273,2286
"09R_S_Ext_Inter","PLT","R09R",3,0.899899,-0.0200866,-152.400009155273,2286
"09R_S_Ext_Inter","PLT","R09R",4,0.899966,-0.0102987,-152.400009155273,2286
"09R_S_Ext_Inter","PLT","R09R",5,0.898223,-0.0102788,-152.400009155273,2286
"09R_S_Intercept","PLT","R09R",1,0.898223,-0.0102788,-152.400009155273,2042.16003417969
